id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	14850.04	PIB municipal per capta: 14.850,04
682	682	Região Administrativa de Registro	4246.73	PIB municipal per capta: 4.246,73
683	683	Região Administrativa de Santos	9294.52	PIB municipal per capta: 9.294,52
684	684	Região Administrativa de São José dos Campos	14262.01	PIB municipal per capta: 14.262,01
685	685	Região Administrativa de Sorocaba	8222.61	PIB municipal per capta: 8.222,61
686	686	Região Administrativa de Campinas	12051.87	PIB municipal per capta: 12.051,87
687	687	Região Administrativa de Ribeirão Preto	10099.89	PIB municipal per capta: 10.099,89
688	688	Região Administrativa de Bauru	7752.95	PIB municipal per capta: 7.752,95
689	689	Região Administrativa de São José do Rio Preto	7915.21	PIB municipal per capta: 7.915,21
690	690	Região Administrativa de Araçatuba	7990.88	PIB municipal per capta: 7.990,88
691	691	Região Administrativa de Presidente Prudente	6712.44	PIB municipal per capta: 6.712,44
692	692	Região Administrativa de Marília	7446.60	PIB municipal per capta: 7.446,60
693	693	Região Administrativa Central	10617.95	PIB municipal per capta: 10.617,95
694	694	Região Administrativa de Barretos	11557.70	PIB municipal per capta: 11.557,70
695	695	Região Administrativa de Franca	7511.34	PIB municipal per capta: 7.511,34
