id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	23731.68	PIB municipal per capta: 23.731,68
682	682	Região Administrativa de Registro	7193.46	PIB municipal per capta: 7.193,46
683	683	Região Administrativa de Santos	18978.01	PIB municipal per capta: 18.978,01
684	684	Região Administrativa de São José dos Campos	19339.29	PIB municipal per capta: 19.339,29
685	685	Região Administrativa de Sorocaba	14199.61	PIB municipal per capta: 14.199,61
686	686	Região Administrativa de Campinas	20905.52	PIB municipal per capta: 20.905,52
687	687	Região Administrativa de Ribeirão Preto	18285.21	PIB municipal per capta: 18.285,21
688	688	Região Administrativa de Bauru	14268.06	PIB municipal per capta: 14.268,06
689	689	Região Administrativa de São José do Rio Preto	13700.50	PIB municipal per capta: 13.700,50
690	690	Região Administrativa de Araçatuba	13473.71	PIB municipal per capta: 13.473,71
691	691	Região Administrativa de Presidente Prudente	11477.18	PIB municipal per capta: 11.477,18
692	692	Região Administrativa de Marília	11718.70	PIB municipal per capta: 11.718,70
693	693	Região Administrativa Central	16507.00	PIB municipal per capta: 16.507,00
694	694	Região Administrativa de Barretos	18658.11	PIB municipal per capta: 18.658,11
695	695	Região Administrativa de Franca	13527.66	PIB municipal per capta: 13.527,66
