id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	64934	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 64.934
682	682	Região Administrativa de Registro	307	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 307
683	683	Região Administrativa de Santos	6189	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 6.189
684	684	Região Administrativa de São José dos Campos	12773	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 12.773
685	685	Região Administrativa de Sorocaba	10094	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 10.094
686	686	Região Administrativa de Campinas	25841	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 25.841
687	687	Região Administrativa de Ribeirão Preto	3418	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 3.418
688	688	Região Administrativa de Bauru	3641	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 3.641
689	689	Região Administrativa de São José do Rio Preto	4694	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 4.694
690	690	Região Administrativa de Araçatuba	1791	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 1.791
691	691	Região Administrativa de Presidente Prudente	3760	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 3.760
692	692	Região Administrativa de Marília	5483	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 5.483
693	693	Região Administrativa Central	4453	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 4.453
694	694	Região Administrativa de Barretos	2089	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 2.089
695	695	Região Administrativa de Franca	3834	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Concomitante – Rede Federal: 3.834
