id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	524531	População de 4 e 5 Anos: 524.531
682	682	Região Administrativa de Registro	8035	População de 4 e 5 Anos: 8.035
683	683	Região Administrativa de Santos	44813	População de 4 e 5 Anos: 44.813
684	684	Região Administrativa de São José dos Campos	60700	População de 4 e 5 Anos: 60.700
685	685	Região Administrativa de Sorocaba	75485	População de 4 e 5 Anos: 75.485
686	686	Região Administrativa de Campinas	156741	População de 4 e 5 Anos: 156.741
687	687	Região Administrativa de Ribeirão Preto	32090	População de 4 e 5 Anos: 32.090
688	688	Região Administrativa de Bauru	26146	População de 4 e 5 Anos: 26.146
689	689	Região Administrativa de São José do Rio Preto	32407	População de 4 e 5 Anos: 32.407
690	690	Região Administrativa de Araçatuba	17121	População de 4 e 5 Anos: 17.121
691	691	Região Administrativa de Presidente Prudente	19566	População de 4 e 5 Anos: 19.566
692	692	Região Administrativa de Marília	23067	População de 4 e 5 Anos: 23.067
693	693	Região Administrativa Central	23158	População de 4 e 5 Anos: 23.158
694	694	Região Administrativa de Barretos	10244	População de 4 e 5 Anos: 10.244
695	695	Região Administrativa de Franca	18871	População de 4 e 5 Anos: 18.871
