id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	73066	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 73.066
682	682	Região Administrativa de Registro	537	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 537
683	683	Região Administrativa de Santos	7024	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 7.024
684	684	Região Administrativa de São José dos Campos	11362	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 11.362
685	685	Região Administrativa de Sorocaba	10211	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 10.211
686	686	Região Administrativa de Campinas	26836	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 26.836
687	687	Região Administrativa de Ribeirão Preto	4058	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 4.058
688	688	Região Administrativa de Bauru	5028	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 5.028
689	689	Região Administrativa de São José do Rio Preto	5900	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 5.900
690	690	Região Administrativa de Araçatuba	3237	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 3.237
691	691	Região Administrativa de Presidente Prudente	3317	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 3.317
692	692	Região Administrativa de Marília	2669	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 2.669
693	693	Região Administrativa Central	3759	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 3.759
694	694	Região Administrativa de Barretos	2263	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 2.263
695	695	Região Administrativa de Franca	2351	Matrícula no Ensino Profissionalizante Técnico de Nível Médio Subsequente: 2.351
